d_vendor_name,max_years,n
UNITED STATES DEPARTMENT OF DEFENCE,5.01,3
UNITED STATES DEPARTMENT OF THE AIR FORCE,16.41,41
UNITED STATES DEPARTMENT OF THE ARMY,10.68,26
UNITED STATES DEPARTMENT OF THE NAVY,17.66,70
UNITED VAN LINES CANADA,4,2
UNIVERSAL HELICOPTERS,4.76,46
UNIVERSAL PROTECTION SERVICE,2.06,4
UNIVERSAL WEATHER AND AVIATION,0,36
UNIVERSITE DE MONTREAL,6.99,45
UNIVERSITE DE SHERBROOKE,3.41,45
UNIVERSITE LAVAL,4.88,146
UNIVERSITE QUEBEC INSTITUT NAT RECHERCHE SCIENTIFIQUE,5,1
UNIVERSITE SAINTE ANNE,10.87,309
UNIVERSITY OF ALBERTA,5.03,195
UNIVERSITY OF BRITISH COLUMBIA,5.6,141
UNIVERSITY OF CALGARY,5.59,90
UNIVERSITY OF GUELPH,5.52,135
UNIVERSITY OF MANITOBA,7.01,74
UNIVERSITY OF NEW BRUNSWICK,8.34,85
UNIVERSITY OF ONTARIO,3.22,10
UNIVERSITY OF OTTAWA,9.71,337
UNIVERSITY OF REGINA,6.02,40
UNIVERSITY OF SASKATCHEWAN,8.42,100
UNIVERSITY OF TORONTO,5.74,167
UNIVERSITY OF WATERLOO,8.32,152
UNIVERSITY OF WESTERN ONTARIO,10.01,72
UQSUQ,5.04,272
URBAN VALLEY TRANSPORT,1.51,1
URLACHER CONSTRUCTION,1,109
UTILITIES KINGSTON,1.18,57
UVAIR,0.08,125
VAISALA CANADA,6.82,60
VAISALA OYJ,4.55,3
VALARD CONSTRUCTION,1.24,8
VALCOM CONSULTING,11.13,222
VALLEY REFRIGERATION,1.87,28
VALUE MASTER BUILDERS,1.01,97
VAN HORNE CONSTRUCTION,2.09,2
VAN KAPPEL INTERNATIONAL,2.09,19
VANCOUVER AIRPORT AUTHORITY,1.17,1
VANCOUVER CONVENTION CENTRE,1.73,4
VANCOUVER DRYDOCK COMPANY,1.23,9
VANCOUVER FRASER PORT AUTHORITY,3.14,5
VANCOUVER PILE DRIVING,5.01,14
VANCOUVER SHIPYARDS,9.01,27
VANRX PHARMASYSTEMS,3.31,5
VARD MARINE,2.91,33
VCI CONTROLS,6.5,41
VECTOR AEROSPACE,2.01,79
VERITAAQ TECHNOLOGY HOUSE,7.61,1487
VERITAS TECHNOLOGIES,3.39,10
VERREAULT NAVIGATION,0.94,10
VERSACOM,8.27,84
VERSATIL BPI,5.01,67
VETEMENTS COOKSHIRE,4.01,2
VEYRON PROJECTS,1.68,2
VFA CANADA,9.85,25
VFS GLOBAL,7,13
VIA TRAVAIL,4,16
VIDCRUITER,3.35,113
VIKING FIRE PROTECTION,5,23
VIRTRA SYSTEMS,0.65,2
VIRTUAL POSSIBILITIES DIVISION,1,1
VISA SERVICES,5.68,1
VISIONTEC,9.72,24
VMWARE,4.02,253
VOYAGEUR AVIATION,2.73,32
VOYAGEUR TRANSPORTATION,2.76,2
VVI CONSTRUCTION,3,7
VWR INTERNATIONAL,5.41,740
W S MORGAN CONSTRUCTION,1.94,12
W3 DESIGN GROUP,6.54,4
W8482 217946 001 DMARP4,0.21,1
WADE GENERAL CONTRACTING,1.48,27
WAHL CONSTRUCTION,3,101
WAINWRIGHT MARINE SERVICES,1.07,15
WAJAX,5.67,572
WAJAX SYSTEMES DE PUISSANCE,1.95,1
WAMPUM RECORDS,2.89,58
WARTSILA,11.94,518
WASAUKSING FIRST NATION,3.1,3
WASTE CONNECTIONS OF CANADA,5,106
WASTE MANAGEMENT OF CANADA,5,120
WASTE PROCESSING TECHNOLOGIES,5.01,1
WATCH SYSTEMS,5.02,1
WATERS,5.13,393
WATERSHED INFORMATION TECHNOLOGY,5.01,17
WAUBAUSHENE MACHINE WELDING,0.76,1
WAZANA CLOTHING,1.51,1
WCG INTERNATIONAL CONSULTANTS,8.51,3
WEATHERHAVEN CANADA,5,38
WEBSTER ELECTRIC,1.09,106
WEIR CANADA,12.76,13
WESCO DISTRIBUTION CANADA,10.27,209
WEST COAST TUG BARGE,0.93,12
WESTBURY NATIONAL SHOW SYSTEMS,2.24,99
WESTCO CONSTRUCTION,3.2,9
WESTCOAST GENESIS SOCIETY,5,7
WESTCOMB OUTERWEAR,1.6,1
WESTERN CANADA MARINE RESPONSE,0.05,9
WESTERN MECHANICAL ELECTRICAL,1.16,7
WESTERN PACIFIC ENTERPRISES,1.98,3
WESTERN PETROLEUM,2,84
WESTJET,0.53,3
WESTOWER COMMUNICATIONS,3.09,148
WHITE BEAR INDUSTRIES,5,10
WHITECHURCH CONSTRUCTION,1.51,11
WHOLESOME CRAVINGS,0.02,94
WHOOSHH INNOVATIONS,0.45,2
WILCO CONTRACTORS SOUTHWEST,4.02,14
WILD STONE ENGINEERING,1.94,4
WILDLIFE COMPUTERS,0.83,99
WILDROSE DISPOSAL,4.19,30
WILDSTONE CONSTRUCTION,4.36,10
WILEY SUBSCRIPTION SERVICES,2.83,14
WILLS TRANSFER,4.05,59
WINDREACH CONSULTING SERVICES,4.08,32
WINMAR,0.5,28
WINNIPEG AIRPORT AUTHORITY,2.08,3
WINTERSTEIGER,1.47,85
WM M 1993,1.99,6
WOLTERS KLUWER,7.01,151
WOOD,6.09,190
WOOD CANADA,7.1,404
WOOD E I SOLUTIONS,0.99,5
WOOD MACKENZIE,1.05,15
WOODWARD,0.18,160
WOODWARD AVIATION,0,117
WOODWARD S OIL,1.01,127
WOOLLY MAMMOTH OUTERWEAR,2.81,2
WORKDYNAMICS TECHNOLOGIES,7.01,159
WORKPLACE HEALTH AND COST SOLUTIONS,5.07,16
WORLD FUEL SERVICES,2,2793
WORLD UNIVERSITY CONSORTIUM,5.19,1
WORLD UNIVERSITY SERVICE OF CANADA,7.7,8
WORLDREACH SOFTWARE,4.5,17
WORLEY PARSONS,5.69,19
WPP GROUP CANADA COMMUNICATIONS,3.79,101
WRIGHT CONSTRUCTION WESTERN,5.89,1
WSP,14.99,1283
WTB LANGUAGE GROUP,2,87
WYSSEN AVALANCHE CONTROL,3.89,8
XANALYS CANADA,3.07,6
XAV SOLUTION,1,6
XEROX,12.76,1793
XPERA RISK MITIGATION INVESTIGATION,0.84,35
XPERTEK CONSTRUCTION,2.98,39
XTECH EXPLOSIVE DECONTAMINATION,4.01,4
XTRACT TECHNOLOGIES,1.11,16
YAMAHA MOTORS CANADA,1.2,298
YAMNUSKA,3,13
YELLOWHEAD HELICOPTERS,2.97,82
ZAYO CANADA,11.01,146
ZENITH PAVING,2.62,11
ZERNAM ENTERPRISE,4.56,53
ZIGHRA,1.08,5
ZODIAC HURRICANE TECHNOLOGIES,5.03,34
ZOLL MEDICAL CANADA,4.08,32
ZUTPHEN CONTRACTOR,1.74,35
ZYCOM,7.01,154
