d_vendor_name,mean_original_value,mean_overall_value,n
PYLON ELECTRONICS,10601743.55,10647813.59,6
QATAR AIRWAYS,1025410.25,1025410.25,6
QIAGEN,60131.39,91766.17,87
QINETIQ,2428711.29,2650311.96,30
QM ENVIRONMENTAL,1638629.86,1988539.08,41
QMR,62071.15,76453.02,876
QUAD PRO CONSTRUCTION,10411476.00,10564037.89,3
QUADBRIDGE,227575.21,227706.05,29
QUANTUM MANAGEMENT SERVICES,512629.70,847477.40,178
QUARTZ NATURE,7615296.00,7872016.32,1
QUEEN S UNIVERSITY,327507.56,349015.55,96
QUINAN CONSTRUCTION,2460491.00,2671887.40,14
QUINTET CONSULTING,44698.81,51883.30,183
QUOREX CONSTRUCTION SERVICES,3102487.09,3689600.51,9
QUORUM,3499851.51,5745622.35,3
QUORUS CONSULTING GROUP,102750.38,108473.90,43
R C M MODULAIRE,622165.36,3612813.53,2
R D CONSTRUCTION,544424.88,590799.22,8
R E GILMORE INVESTMENTS,563752.19,566121.91,61
R GUILBEAULT CONSTRUCTION,4290032.53,4503653.05,1
R J MACISAAC CONSTRUCTION,3894329.71,3939200.00,4
R LAMBA FORENSIC PSYCH SERVICE,1500000.00,2750000.00,2
R R INTERNATIONAL TRANSLATION,98398.94,120529.18,201
R W TOMLINSON,1774448.31,1876748.20,8
R2I,4703729.33,4703729.33,9
RACEROCKS 3D,70123.04,1273737.67,4
RACING FORENSICS,4761494.28,6133236.42,2
RADIATION SOLUTIONS,200793.09,391030.25,33
RADWARE,1422323.31,1422323.31,2
RAINHOUSE MANUFACTURING CANADA,1816552.55,1816260.47,2
RAMPART INTERNATIONAL,76153.09,83986.04,245
RANDSTAD,227446.31,335207.25,697
RAPISCAN SYSTEMS,717118.32,868964.74,11
RATIO ARCHITECTURE INTERIOR DESIGN,151306.03,301464.37,20
RAYMOND CHABOT GRANT THORNTON,131688.33,182889.00,400
RAYTHEON,36261870.03,35362797.96,25
REACTOR ENGINEERING GROUP,48307500.00,48307500.00,1
REDACTED,10033698.88,10507982.84,7
REDI FORM CONSTRUCTION,435988.08,437688.55,11
REDMANGO MEDIA,106219.15,106247.47,46
REDWOOD PERFORMANCE GROUP,183816.23,184028.45,16
REFORMAR,794800.75,1152991.29,7
REGENT CONSTRUCTION,1047324.73,1416680.08,9
REHAB,443603.51,1633289.44,4
RENK,14192846.29,14192846.29,1
RENOKREW,70060.00,4512483.75,1
REPARATIONS NAVALES ET INDUSTRIELLES OCEAN,142447.19,185030.69,144
REPUBLIC ARCHITECTURE,126499.59,154987.38,161
RESIDENCE CARPEDIEM,1059993.49,3027871.29,5
RESIDENCE LAFLEUR,623495.62,1520832.66,3
RESOLVE MARINE,2640354.78,2640354.78,1
RESOLVE SALVAGE FIRE AMERICAS,6510000.00,6510000.00,1
REVISION MILITARY,1945987.21,2940644.13,11
REVOLUTION EVENTS,29210.96,29224.31,80
RGB MEDIA,108291.31,108291.31,61
RGT CLOUTHIER,690918.06,707504.67,36
RHEA,64236.36,70865.15,96
RHEINMETALL,4204972.64,5277501.19,83
RICOH,46021.87,65648.95,1397
RIGGS ENGINEERING,188604.43,297476.93,30
RIGHTWAY SANITATION SERVICES,47275.12,47276.16,176
RIKJAK CONSTRUCTION,545207.52,560670.08,14
RISK SCIENCES INTERNATIONAL,71608.53,100870.59,108
RJG CONSTRUCTION,1796114.21,1905661.86,44
RMS SOFTWARE,53137.26,88165.09,46
ROBERT ALLAN,214959.88,228972.23,16
ROBERTSON GEOCONSULTANTS,708698.04,892895.77,6
ROBERTSON MARTIN ARCHITECTS,273738.02,446398.63,31
ROBIN ELECTRIC,485730.00,744672.28,3
ROCHE DIAGNOSTICS,723820.24,1904280.77,67
ROCKWELL COLLINS CANADA,492985.94,492985.96,15
ROGERS,1430145.58,5882665.96,107
ROHDE SCHWARZ CANADA,176338.84,181799.24,53
ROLLING TIDES CONSTRUCTION,428636.70,432781.01,12
ROLLS ROYCE CANADA,532999.07,532999.07,10
RONA,32298.87,32594.35,122
RONALD J POIRIER PROFESSIONAL,877923.79,5645785.32,1
RONDAR,463861.74,596394.92,28
ROOF TILE MANAGEMENT,3092547.00,5846945.25,1
ROSBOROUGH BOATS,368577.79,387485.61,29
ROSCOE CONSTRUCTION,1310442.69,1392193.10,26
ROSS AND ANGLIN,3845747.32,3912123.00,4
ROUDEL MEDICAL AND SURGICAL,55217732.50,31128675.00,2
ROXBORO EXCAVATION,3671145.08,3980424.04,3
RPL ARCHITECTS,768335.00,821703.02,4
RTG PROTECH,50604.93,56921.05,69
RUSH TRUCK CENTRES OF CANADA,771250.17,804811.58,10
RUSSEL METALS,33988.64,33997.59,249
RUSSELL CHERNOFF RAND THOMPSON,239066.82,458136.95,27
RYCOM,316488.60,622007.53,14
S P GLOBAL MARKET INTELLIGENCE,59826.37,79558.33,173
S W WEEKS CONSTRUCTION,7995964.66,9536869.10,1
SAAB,6101643.06,5955448.04,39
SABA SOFTWARE,457345.68,2221455.93,6
SAFE FACE SHIELDS,3784319.15,3784319.15,1
SAFFCO,520624.98,520649.53,22
SALESFORCE CANADA,318967.71,363954.54,84
SALISH SEA INDUSTRIAL SERVICES,202376.64,271471.91,16
SALVATION ARMY,1139387.20,2576915.99,59
SAMSON ASSOCIES,69330.63,95980.01,746
SANDOZ CANADA,422227.13,373756.42,12
SANEXEN SERVICES ENVIRONMENTAUX,956075.58,1132978.50,37
SANI SABLE LB,1743392.29,3012478.63,14
SANI SPORT,48963.56,73429.46,34
SANTE MONTFORT,185000000.00,260647300.00,1
SAP,1279590.55,1764440.65,227
SAPPER LABS CYBER SOLUTIONS,7475000.00,8025942.38,1
SARTORIUS STEDIM NORTH AMERICA,79407.20,94392.08,32
SAS AIR,211858.01,207593.57,14
SAS INSTITUTE,335233.91,356494.92,226
SASKTEL,610241.99,3048328.83,19
SCA SHIPPING CONSULTANTS ASSOCIATED,161388.58,193331.96,380
SCANSA CONSTRUCTION,7920369.93,9919199.51,6
SCHOELER HEATON ARCHITECTS,295398.73,337224.72,30
SDL INTERNATIONAL CANADA,301245.92,358981.62,41
SEACOAST MARINE ELECTRONICS,163266.83,167611.72,34
SEAFIRST CONSTRUCTION,313027.94,346216.84,10
SEAGATE CONSTRUCTION,536382.82,680569.89,13
SEALITE USA,50051.98,50051.98,46
SEASONS CULINARY SERVICES,1303915.40,1763965.52,3
SEASPAN VICTORIA SHIPYARDS,41153796.34,89848515.54,15
SEAWATCH,3209163.45,4334211.08,6
SEAWAVES DEVELOPMENT SERVICES,3210318.70,3358044.13,2
SEAWAY CONSTRUCTION MANAGEMENT IN,941852.45,1782824.89,3
SECURE ENERGY ONSITE SERVICES,2063779.82,2532682.60,2
SECUREKEY TECHNOLOGIES,4111728.60,6260538.49,8
SECURIGUARD SERVICES,14212873.22,22685867.58,1
SED SYSTEMS,2328085.30,8719045.56,2
SEEGENE CANADA,1448125.66,7504047.40,3
SEGUIN MORRIS,221188.25,237593.93,21
SELECT GLOBAL INTERNATIONAL,3936567.43,5720034.18,5
SELEX,41619867.75,41619867.75,2
SEMANTIC CONSULTING,241690.86,957553.93,7
SENSORS UNLIMITED,2087250.00,2087250.00,1
SENSTAR,383491.04,497941.99,11
SENSUS COMMUNICATION SOLUTIONS,67248.31,71729.24,69
SEPW ARCHITECTURE,188643.62,273296.58,30
SEQIRUS CANADA,11061163.20,19355684.14,2
SERCO,92530017.00,100091002.75,10
SERVICE STAR BUILDING CLEANING,524953.73,802541.12,24
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,765469.92,2754106.11,4
SETANTA CONTRACTING,69904.99,80283.71,138
SEYEM,8906299.50,8911167.15,1
SGS AXYS ANALYTICAL SERVICES,69267.46,86859.06,94
SHARP ELECTRONICS,32371.40,34743.54,497
SHAW CABLE,629752.97,1637643.39,5
SHELL CANADA PRODUCTS,70303.58,68318.83,1822
SHELTER NOVA SCOTIA,751183.83,3508698.33,3
SHI CANADA,47286.88,49251.69,189
SHM CANADA CONSULTING,60000.87,72746.57,92
SHOULDICE MECHANICAL,65329.49,68487.42,68
SHRMA ARCHITECTS IN JOINT VENTURE,3004167.71,4103664.11,2
SI SYSTEMS,373070.05,566368.21,1093
SIEMENS,113845.38,126915.12,387
SIERRA SYSTEMS GROUP,475631.23,777764.40,117
SIFEC NORTH,265916.22,407439.09,13
SIGMA SAFETY,80065.36,108366.72,30
SIGN LANGUAGE INTERPRETING,36362.38,92686.06,82
SIGNAL ELECTRIC,1105995.49,1105995.49,3
SIGNATURE SUR LE SAINT LAURENT,4534252124.69,5031364910.17,1
SIKORSKY AIRCRAFT,3235008851.00,2342493108.00,1
SILLIKER,347293.63,354419.52,76
SIMEX DEFENCE,108181.17,111505.76,962
SIMO,725366.32,725366.32,3
SIMO MANAGEMENT,279856.29,280124.26,42
SIMONSON CONSTRUCTION,467085.22,488533.37,8
SIMPLEX GRINNELL,122769.78,188227.97,143
SIMPSON BUILDING CONTRACTORS,748600.42,764741.20,6
SITE ENERGY SERVICES,32274920.00,32274920.00,1
SKILLSOFT CANADA,59189.82,261796.21,27
SKOR CULINARY CONCEPTS,18532.71,18532.71,92
SKRETTING,28154.82,28066.09,118
SKY CANOE,5475887.34,5578607.79,1
SLR CONSULTING CANADA,379773.37,507735.33,146
SMITHS DETECTION,312315.34,505503.85,137
SMITHS MEDICAL CANADA,5773417.99,5773417.99,1
SNAP ON TOOLS,29919.14,29972.19,212
SNC LAVALIN,1365451.56,2317855.39,599
SOCIETE EMMANUEL GREGOIRE,903305.46,2440582.88,10
SOFTCHOICE,55168.28,60478.84,1191
SOFTSIM TECHNOLOGIES,164662.46,237942.91,72
SOFTWARE ENGINEERING OF AMERICA,1030720.52,1241388.18,4
SOLACE,337213.04,731911.67,5
SOLANA NETWORKS,572251.14,803694.59,7
SOLOTECH,124293.09,160470.57,220
SOLUDOC,442990.73,770201.94,32
SOLUTIONS MOERAE,189757.19,382444.34,57
SOMOS,376154.66,739944.17,46
SONOBUOY TECH SYSTEMS,7994826.00,7994826.00,1
SOUCY INTERNATIONAL,4993128.70,4993128.70,8
SOUTHMEDIC,1589325.10,1589325.10,2
SOUTHWEST RESEARCH INSTITUTE,6119386.72,6123425.36,15
SOVO TECHNOLOGIES,112672.92,816521.54,8
SPARTAN BIOSCIENCE,78268050.00,149048550.00,1
SPEARHEAD MANAGEMENT CANADA,140037.83,163023.38,25
SPECIALTY BUILDING SERVICES,81881.79,242201.56,14
SPERRA CONSTRUCTION,701126.30,807959.09,8
SPRINGCREST,743159.61,743159.61,5
SPRINGER VERLAG,1099090.65,1094970.56,14
SPRINGHILL CONSTRUCTION,10651300.00,12338610.36,1
SQUAMISH INDIAN BAND,11548052.25,18327403.81,3
SRA STAFFING SOLUTIONS,158519.60,208606.27,34
SSCL,441565.20,457116.45,10
ST AIRBORNE SYSTEMS,549670.68,751255.29,13
ST DENIS THOMPSON,3957152.85,5098962.42,7
ST GELAIS MONTMINY ASSOCIES,990074.37,1277586.80,24
ST ISIDORE ASPHALTE,2819144.50,3860836.65,1
ST JOHN AMBULANCE,304959.27,782826.53,23
ST JOSEPH PRINT GROUP,54790.42,98843.70,146
ST LEONARD S COMMUNITY SERVICES,727606.08,3312798.48,6
ST LEONARD S SOCIETY HAMILTON,751119.90,1966308.05,10
ST LEONARDS HOUSE WINDSOR,354916.75,1233416.30,7
ST LEONARDS PLACE PEEL,1740151.81,3410505.20,7
ST LEONARDS SOCIETY OF NORTH VANCOUVER,356719.74,1277336.82,5
ST LEONARDS SOCIETY OF PETERBOROUGH EDMISON HOUSE,993910.54,3530758.58,2
ST OPS TACTICAL TRAINING CANADA,295080.70,296560.36,41
ST PATRICKS HOUSE SOCIETY,786000.00,3123220.97,2
STANFIELDS,27911000.00,28046600.00,1
STANLEY CONSTRUCTION,1619889.28,1743012.33,8
STANTEC,101916.57,147412.76,1824
STAPLES ADVANTAGE CANADA,41743.57,77747.85,38
STEDFAST,40579.68,56182.20,65
STEPPED CARE SOLUTIONS,18769300.00,153734095.36,1
STERIS CANADA,78282.81,83633.75,100
STERLING FUELS,124914.85,125144.23,291
STERLING SWIFT,5456648.00,5456648.00,1
STIFF SENTENCES,162894.19,256412.68,37
STONEHENGE THERAPEUTIC COMMUNITY,1408413.81,2630947.84,2
STONEWORKS TECHNOLOGIES,467843.05,469806.39,557
STOPS TACTICAL TRAINING,5585460.10,5585460.10,2
STRATOS,61723.55,73562.18,187
STRONG BROS GENERAL CONTRACTING,502860.68,566313.57,28
STRYKER CANADA,1831422.56,1831422.56,24
SUBARU CANADA,78502.70,76975.31,190
SUMMIT CANADA DISTRIBUTORS,60618.21,66163.30,107
SUN LIFE ASSURANCE COMPANY,12904146.02,32205143.82,19
SUNCOR ENERGY,31117.99,32460.10,601
SUPER CHANNEL INTERNATIONAL,85896.89,92263.02,67
SUPERIOR CONTRACTING,454413.45,490659.11,8
SUPERMAX HEALTHCARE CANADA,85479505.40,86822505.40,2
SUPREMEX,144977.94,152048.92,137
SURE FORM CONTRACTING,6540417.44,6869332.30,1
SUSE SOFTWARE SOLUTIONS CANADA,422584.90,1014108.71,8
SUSTAINABLE TRAILS 2011,640139.92,770506.03,6
SUTHERLAND EXCAVATING,54028.59,57793.28,336
SWITCH HEALTH,37673292.32,205043697.70,7
SYFT TECHNOLOGIES,980379.81,1926172.05,3
SYLVIE ROY,59633.44,93925.31,31
SYM COMMUNICATIONS,131904.49,205825.36,41
SYMCOR,24657165.00,30295865.00,1
SYNERGIE MEDICALE BRG,1977500.00,4027320.00,1
SYNERSOLUTIONS TECHNOLOGIES,421981.95,457003.97,17
SYNTAGME,196732.03,362763.03,12
SYSCO,19059.96,19169.84,670
SYSTEMATIX SOLUTIONS,1431747.00,2097554.69,148
SYSTEMES URBAINS,728558.42,876337.34,3
SYSTEMS FOR RESEARCH,558117.73,559154.82,14
SYSTEMSCOPE,148188.75,264417.56,153
T E S THE EMPLOYMENT SOLUTION,232281.64,832422.50,4
T J NOLAN CONSTRUCTION,40191.89,40359.89,125
T R HINAN CONTRACTORS,1969661.75,2037143.53,4
T3P CONSTRUCTION,553646.46,1650752.89,2
TACS,302367.85,309457.71,32
TAG HR,78381.58,94650.45,254
TAI,665571.25,665571.25,9
TALIGENT CONSULTING,711073.02,898146.41,81
TANGLE RIDGE CUSTOM CRUSHING,2394152.17,2476199.17,9
TANKATEK,205205.84,205488.29,50
TAURUS CONTRACTORS,250557.86,271211.99,27
TAYLOR FRANCIS,84187.11,89631.93,44
TAYLOR HAZELL ARCHITECTS,232784.22,620464.78,10
TCI TRANSLATORS CONFERENCE,209399.40,301506.41,16
TDI INTERNATIONAL,1765428.86,2550885.60,4
TEAM CERTAS,81616788.06,81616788.06,1
TECAN,74250.16,107221.64,25
TECHNE SEATING COMPONENT,50809.78,60027.22,87
TECHNO FEU,264832.86,369508.18,22
TECHNOMICS,374914.84,598023.22,8
TECHNOREM,171835.90,343994.59,30
TECSIS,230373.22,405889.77,17
TEEL TECHNOLOGIES CANADA,130796.24,143362.76,68
TEKNION,88296.77,87822.31,1553
TEKSYSTEMS CANADA,836500.76,1111335.24,424
TELECOM COMPUTER SERVICES,182172.04,200236.52,547
TELECOMMUNICATION SUPPORT SERVICES,1287249.64,1587249.64,5
TELEDYNE,61808.94,63718.33,74
TELEPHONICS,1751212.19,1394102.47,7
TELESAT,1862562.97,4752207.58,55
TELUS CANADA,699668.97,1452164.00,731
TENAQUIP,39766.43,36036.60,263
TERAMACH TECHNOLOGIES,509593.51,527985.93,818
TERLIN CONSTRUCTION,944225.49,1213362.42,6
TERRA SENSE ANALYTICS,1607601.78,1607601.78,9
TERUS CONSTRUCTION,1777460.94,1777460.94,2
TERVITA,655787.97,735548.94,45
TES CONTRACT SERVICES,709836.03,1192827.69,118
TESTFORCE SYSTEMS,72195.21,75083.12,345
TESTVONICS,1633507.50,1633507.50,2
TETRA TECH,197342.35,258234.26,200
TFORCE FINAL MILE,272771.72,303268.58,9
THALES,9861412.94,10065848.78,131
THE AIM GROUP,436417.53,540747.26,522
THE BOEING COMPANY,386056642.67,139782305.07,3
THE CALGARY AIRPORT AUTHORITY,367062.51,3841493.88,2
THE CANADA LIFE ASSURANCE COMPANY,64342981.06,64344862.71,8
THE CANNINGTON ABORIGINAL VENTURE,536750.00,1233514.19,2
THE DELTIC GROUP,929427.28,739490.08,5
THE HALIFAX COMPUTER CONSULTING GROUP,872623.23,1348223.64,25
THE HALIFAX GROUP,581685.97,694167.81,23
THE IT BROKER,150824.86,202355.32,42
THE KTL GROUP,150805.50,210364.49,35
THE MASHA KRUPP TRANSLATION GROUP,89152.90,154325.21,200
THE MATHWORKS,44229.53,49642.94,210
THE RIGHT DOOR,98063.82,141608.35,166
THE RIGHT DOOR CONSULTING,99221.14,114801.41,135
THE ROYAL ARCHITECTURAL INSTITUTE,911025.00,1739775.00,2
THE STEVENS COMPANY,3273486.34,3262274.67,34
THE UNIVERSITY OF WESTERN ONTARIO,139428.03,136001.93,23
THE VCAN GROUP,155682.36,400573.53,41
THERMO FISHER SCIENTIFIC,50196.80,52584.38,1561
THG THE HISTORY GROUP,64874.64,76249.50,100
THINKON,128602.94,1032150.08,7
THINKPOINT,123440.61,178475.57,26
THOMAS SCHMIDT,201205.67,256505.58,42
THOMPSON BOILER WORKS,50143.11,53942.54,81
THOMSON REUTERS,93055.24,156193.64,163
THORNHILL MEDICAL,104848355.02,100609604.11,2
THRIVE HEALTH,1412500.00,5070875.00,2
THYSSENKRUPP ELEVATOR,141185.22,164074.56,117
TIREE,489813.98,686280.01,181
TISSEUR,8615838.34,9961466.54,9
TITAN AEX,6919500.00,19886666.67,2
TITAN BOATS,286109.77,367959.83,28
TITANIUM CONSTRUCTION,3564438.91,4035463.54,8
TITUS,426516.08,435472.68,10
TLD CANADA,614839.45,614839.45,4
TOFCON CONSTRUCTION,20227294.37,20258685.52,2
TOM JONES,3378048.85,3198732.61,1
TOP ACES,1836245.34,1836768.60,366
TOROMONT,339758.45,349115.38,477
TORONTO BAIL PROGRAM,5119730.10,6476296.10,2
TORONTO INDUSTRIES,11368805.96,11368805.96,1
TORONTO METROPOLITAN UNIVERSITY,67167.11,68265.73,36
TORONTO PORT AUTHORITY,595030.15,3248847.75,1
TORONTO STAMP,27120000.00,27177969.00,1
TOSHIBA CANADA,450531.60,724796.61,110
TOTEM OFFISOURCE,89601.76,85008.88,373
TOURE CLEANING SERVICES,363271.02,424168.92,36
TOYOTA,104270.42,103759.11,590
TPG TECHNOLOGY CONSULTANTS,1107931.40,1005948.07,430
TRACK24 CANADA,2248926.56,7292233.18,2
TRADUCTIONS PIERRE CLOUTIER,1278007.51,1278007.51,4
TRADUCTIONS SCRIPTIS,383234.72,536022.78,12
TRAINOR MECHANICAL CONTRACTORS,873328.11,958801.07,23
TRANE CANADA,70230.45,108208.71,42
TRANSCONTINENTAL PRINTING,8287296.92,8448440.41,2
TRANSPOLAR TECHNOLOGY,327839.14,433359.02,89
TRANSTEC,9348228.00,9348228.00,3
TRANSWEST AIR,1274230.38,1408183.18,33
TRAUGOTT BUILDING CONTRACTORS,3899170.95,4267917.62,2
TRAYTOWN BUILDERS,569161.84,654276.86,12
TREMCAR INDUSTRIES,673780.64,673780.64,7
TRI STAR INDUSTRIES,1370595.70,2272464.26,4
TRI WAVE CONSTRUCTION,133409.51,135572.83,24
TRIDENT CONSTRUCTION,5350156.90,5596943.75,3
TRIGON ASSOCIATES,5056802.00,5056802.00,1
TRIPLEWELL CANADA,6441000.00,10577093.80,1
TRM TECHNOLOGIES,230120.40,388298.23,173
TROY LIFE FIRE SAFETY,206029.55,230196.95,64
TRUDELL HEALTHCARE SOLUTIONS,18108878.92,18381302.09,1
TRUMPF,192248.36,192348.29,13
TSI,89371.00,88881.24,39
TSUU T INA CONTRACTING GP,10000000.00,14859000.00,1
TULMAR SAFETY SYSTEMS,535747.90,551887.03,23
TUNDRA TECHNICAL SOLUTIONS,177743.10,250541.32,53
TURN KEY CONSTRUCTION,2310774.73,2310774.73,1
TURNER TOWNSEND,1215844.01,1984379.17,16
TURTLE ISLAND STAFFING,50746.23,62379.63,222
TYCO INTEGRATED FIRE SECURITY,121833.90,140620.97,183
TYR TACTICAL,273747.26,292674.31,27
U BUILD CONSTRUCTION,679306.16,698700.16,4
UBIQUS CANADA,236453.72,277150.13,109
ULTIMATE CONSTRUCTION,650564.19,616602.25,10
ULTRA ELECTRONICS,2462711.56,2639326.93,20
UNCHARTED SOFTWARE,441408.89,454391.24,14
UNIFORM WORKS,214477.11,207731.39,16
UNISOFT INTERNATIONAL,7391606.53,8369691.04,2
UNISOURCE,102134.09,102992.47,401
UNISYNC GROUP,1570670.06,1570670.06,4
UNISYS CANADA,14507634.87,25989788.50,4
UNITED CHURCH HALFWAY HOMES,952321.82,3066535.02,3
UNITED RENTALS,66041.39,67025.82,224
UNITED STATES DEPARTMENT OF DEFENCE,10655126.25,10655126.25,3
UNITED STATES DEPARTMENT OF THE AIR FORCE,5389927.43,5123620.29,41
UNITED STATES DEPARTMENT OF THE ARMY,4145806.71,4065199.83,24
UNITED STATES DEPARTMENT OF THE NAVY,8165482.72,7748440.08,57
UNIVERSAL HELICOPTERS,85055.99,222558.16,46
UNIVERSAL PROTECTION SERVICE,3284764.42,1432049.19,4
UNIVERSAL SHEET METAL,272877.02,308299.86,8
UNIVERSAL WEATHER AND AVIATION,105060.54,105060.54,36
UNIVERSITE DE MONTREAL,103084.70,147931.51,40
UNIVERSITE DE SHERBROOKE,80131.08,112559.71,34
UNIVERSITE LAVAL,69523.74,74402.64,121
UNIVERSITE SAINTE ANNE,23022.75,26765.12,228
UNIVERSITY OF ALASKA FAIRBANKS,307304.17,396034.95,6
UNIVERSITY OF ALBERTA,60144.79,70121.25,176
UNIVERSITY OF BRITISH COLUMBIA,62181.95,64239.59,121
UNIVERSITY OF CALGARY,195503.17,229861.33,80
UNIVERSITY OF GUELPH,118003.29,137392.02,120
UNIVERSITY OF MANITOBA,61701.50,62565.47,63
UNIVERSITY OF NEW BRUNSWICK,127151.74,152624.18,76
UNIVERSITY OF OTTAWA,73140.30,101331.51,281
UNIVERSITY OF REGINA,314173.22,386795.12,35
UNIVERSITY OF SASKATCHEWAN,92400.75,154915.88,79
UNIVERSITY OF TORONTO,201696.13,225192.79,139
UNIVERSITY OF WATERLOO,185768.21,242999.27,128
UNIVERSITY OF WESTERN ONTARIO,119002.30,137785.34,60
UQSUQ,24395.54,24189.88,268
URBAN VALLEY TRANSPORT,7280000.00,16580000.00,1
URLACHER CONSTRUCTION,39097.64,38753.58,88
URTHECAST,548174.54,573614.89,7
UTILITIES KINGSTON,713628.62,733649.01,57
UVAIR,44909.61,44909.61,125
VAISALA CANADA,199141.55,268341.78,57
VALARD CONSTRUCTION,656544.70,695786.86,8
VALCOM CONSULTING,344763.60,485661.60,197
VALLEY REFRIGERATION,185768.84,208429.59,24
VALUE MASTER BUILDERS,110246.27,109841.81,80
VAN HORNE CONSTRUCTION,5768528.20,5768528.20,2
VAN KAPPEL INTERNATIONAL,958093.89,958541.00,19
VANCOUVER AIRPORT AUTHORITY,2575132.95,16206589.80,1
VANCOUVER CONVENTION CENTRE,699418.33,699418.33,4
VANCOUVER DRYDOCK COMPANY,6178723.05,6763443.47,6
VANCOUVER FRASER PORT AUTHORITY,1472029.23,1536390.00,4
VANCOUVER PILE DRIVING,1161056.87,1427992.42,11
VANCOUVER SHIPYARDS,203126253.65,241675210.67,23
VANRX PHARMASYSTEMS,3369879.15,3512457.62,5
VARD MARINE,177812.07,180362.54,19
VCI CONTROLS,197426.95,218063.48,40
VECTOR AEROSPACE,219859.36,259048.68,66
VENASSE BUILDING GROUP,498842.76,515049.04,8
VERITAAQ TECHNOLOGY HOUSE,293668.00,490961.35,1196
VERITAS TECHNOLOGIES,1617564.14,2996463.29,9
VERREAULT NAVIGATION,2889797.22,3857378.46,10
VERSACOM,81948.53,152126.66,80
VERSATERM,483097.70,651129.15,5
VERSATIL BPI,194893.13,195529.11,49
VETEMENTS COOKSHIRE,1367968.58,2654898.76,2
VFA CANADA,158628.81,559327.85,16
VFS GLOBAL,9056500.45,31014088.73,11
VIA TRAVAIL,280470.49,810847.95,15
VIDCRUITER,36930.81,45188.40,80
VIRTUAL POSSIBILITIES DIVISION,172977959.20,172977959.20,1
VISA SERVICES,3299484.00,16198632.00,1
VISIONTEC,293360.00,376507.76,23
VMWARE,648484.30,783446.03,225
VOYAGEUR AVIATION,512484.36,515694.23,9
VOYAGEUR TRANSPORTATION,820394.80,4862999.70,2
VVI CONSTRUCTION,2618086.07,2938868.54,7
VWR INTERNATIONAL,24552.77,24758.61,630
W S MORGAN CONSTRUCTION,758274.82,867571.20,8
W8482 217946 001 DMARP4,3333739.82,3333739.82,1
WADE GENERAL CONTRACTING,409621.42,421139.00,20
WAHL CONSTRUCTION,161870.50,146836.19,83
WAINWRIGHT MARINE SERVICES,434612.52,400255.37,14
WAJAX,100926.47,103273.23,508
WAMPUM RECORDS,142486.75,182526.56,55
WARTSILA,231837.28,314019.80,449
WASAUKSING FIRST NATION,1062166.10,1275728.52,3
WASTE CONNECTIONS OF CANADA,91838.36,103451.23,97
WASTE MANAGEMENT OF CANADA,47635.55,55946.05,119
WASTE PROCESSING TECHNOLOGIES,5233650.00,5233650.00,1
WATCH SYSTEMS,1805454.00,3041730.89,1
WATCHGUARD VIDEO,151383.83,152133.94,39
WATERS,79618.05,109371.77,335
WATERSHED INFORMATION TECHNOLOGY,320478.97,443864.81,16
WATERWORKS CONSTRUCTION,93700.00,103872.61,41
WAZANA CLOTHING,97818043.20,99491989.67,1
WCG INTERNATIONAL CONSULTANTS,250744619.79,287584904.73,3
WEATHERHAVEN CANADA,4785069.99,4785069.99,38
WEBSTER ELECTRIC,66875.11,70399.82,91
WEIR CANADA,17094945.68,66339945.68,8
WESCO DISTRIBUTION CANADA,27728.82,28573.26,190
WEST COAST TUG BARGE,573224.97,519244.16,12
WEST WIND AVIATION,862626.15,867426.15,7
WESTBURY NATIONAL SHOW SYSTEMS,71443.49,72778.83,99
WESTCO CONSTRUCTION,899812.98,1063098.11,7
WESTCOAST GENESIS SOCIETY,949970.88,2612052.55,7
WESTCOMB OUTERWEAR,11665668.00,11757606.62,1
WESTERN CANADA MARINE RESPONSE,46782.82,464968.07,9
WESTERN MATERIALS HANDLING EQUIPMENT,75073.49,135864.29,28
WESTERN MECHANICAL ELECTRICAL,504674.64,560139.06,5
WESTERN PETROLEUM,60186.36,61589.62,62
WESTJET,2922652.20,2913239.09,3
WESTOWER COMMUNICATIONS,75501.96,82557.93,104
WHITE BEAR INDUSTRIES,13542477.53,13792863.84,7
WHITECHURCH CONSTRUCTION,216061.84,230206.05,11
WHOOSHH INNOVATIONS,3197432.50,3472121.27,2
WILCO CONTRACTORS SOUTHWEST,2338065.16,2459901.97,13
WILD STONE ENGINEERING,3326172.61,3499525.27,4
WILDLIFE COMPUTERS,61794.63,61964.88,87
WILDROSE DISPOSAL,136216.88,140556.07,26
WILDSTONE CONSTRUCTION,4604143.44,4961884.52,10
WILLIAM J BARKER CLINICAL,513995.56,1439033.22,4
WILLS TRANSFER,163390.11,175303.06,53
WINMAR,209637.53,2039658.31,28
WINNIPEG AIRPORT AUTHORITY,313822.19,1991006.44,2
WINTERSTEIGER,106380.07,106626.66,74
WM M 1993,1426982.10,1523260.47,6
WOLTERS KLUWER,53032.00,98522.36,117
WOOD,124035.65,150362.92,189
WOOD CANADA,71252.56,89748.83,338
WOOD ENVIRONMENT INFRASTRUCTURE,46660.85,57230.73,52
WOOD MACKENZIE,243054.39,244859.36,13
WOODWARD AVIATION,19101.01,19101.01,95
WOODWARD S OIL,194070.33,194137.69,119
