d_vendor_name,contracts,contracts_with_amendments,has_amendments_percentage
WOOLLY MAMMOTH OUTERWEAR,2,2,1
WORKDYNAMICS TECHNOLOGIES,130,30,0.2308
WORKPLACE HEALTH AND COST SOLUTIONS,16,7,0.4375
WORLD FUEL SERVICES,4,2,0.5
WORLD UNIVERSITY CONSORTIUM,1,0,0
WORLD UNIVERSITY SERVICE OF CANADA,8,1,0.125
WORLDREACH SOFTWARE,11,6,0.5455
WORLEY PARSONS,16,4,0.25
WPP GROUP CANADA COMMUNICATIONS,77,13,0.1688
WRIGHT CONSTRUCTION WESTERN,1,1,1
WSP,1011,325,0.3215
WTB LANGUAGE GROUP,70,7,0.1
WYSSEN AVALANCHE CONTROL,8,3,0.375
XANALYS CANADA,6,1,0.1667
XEROX,1368,270,0.1974
XPERA RISK MITIGATION INVESTIGATION,2,1,0.5
XPERT SOLUTIONS TECHNOLOGIQUES,9,1,0.1111
XPERTEK CONSTRUCTION 2004,31,5,0.1613
XTRACT TECHNOLOGIES,2,0,0
YAMAHA MOTORS CANADA,256,18,0.0703
YELLOWHEAD HELICOPTERS,55,9,0.1636
YOURTE CA,58,7,0.1207
ZAYO CANADA,85,43,0.5059
ZENITH PAVING,5,1,0.2
ZERNAM ENTERPRISE,41,13,0.3171
ZODIAC HURRICANE TECHNOLOGIES,16,5,0.3125
ZOLL MEDICAL CANADA,10,0,0
ZUTPHEN CONTRACTOR,23,12,0.5217
ZYCOM,67,3,0.0448
